TEAM;TOTAL;AVG;MEDIAN;STD;YEAR;ID
Dallas Mavericks;$ 87,825,870;$ 4,622,414;$ 3,750,000;$ 4,078,610;2007;DAL
Dallas Mavericks;$ 64,821,094;$ 4,630,078;$ 2,575,560;$ 4,479,814;2006;DAL
Dallas Mavericks;$ 136,542,804;$ 4,551,426;$ 2,000,000;$ 4,881,340;2005;DAL
Dallas Mavericks;$ 95,987,088;$ 6,399,139;$ 6,750,000;$ 4,687,037;2004;DAL
Dallas Mavericks;$ 95,987,088;$ 6,399,139;$ 6,750,000;$ 4,687,037;2003;DAL
Dallas Mavericks;$ 70,780,199;$ 4,718,679;$ 4,000,000;$ 3,902,905;2002;DAL
Dallas Mavericks;$ 54,002,589;$ 3,600,172;$ 1,500,000;$ 5,009,972;2001;DAL
Denver Nuggets;$ 82,720,711;$ 5,908,622;$ 2,950,788;$ 6,069,291;2010;DEN
Denver Nuggets;$ 75,580,222;$ 4,723,763;$ 1,968,455;$ 5,449,124;2009;DEN
Denver Nuggets;$ 67,068,631;$ 5,159,125;$ 1,939,893;$ 5,305,949;2008;DEN
Denver Nuggets;$ 81,177,202;$ 5,411,813;$ 3,000,000;$ 5,963,214;2007;DEN
Denver Nuggets;$ 65,000,230;$ 5,000,017;$ 4,000,000;$ 5,182,994;2006;DEN
Denver Nuggets;$ 107,688,920;$ 3,589,630;$ 2,740,000;$ 3,095,319;2005;DEN
Denver Nuggets;$ 46,883,814;$ 3,125,587;$ 2,260,280;$ 2,986,235;2004;DEN
Denver Nuggets;$ 46,883,814;$ 3,125,587;$ 2,260,280;$ 2,986,235;2003;DEN
Denver Nuggets;$ 38,985,480;$ 3,248,790;$ 1,465,815;$ 5,607,296;2002;DEN
Denver Nuggets;$ 51,833,723;$ 3,455,581;$ 2,400,000;$ 3,327,993;2001;DEN
Detroit Pistons;$ 65,616,821;$ 4,374,454;$ 2,798,040;$ 4,077,447;2010;DET
Detroit Pistons;$ 62,757,140;$ 3,922,321;$ 1,950,000;$ 3,722,419;2009;DET
Detroit Pistons;$ 77,046,985;$ 5,926,691;$ 3,666,667;$ 6,191,179;2008;DET
Detroit Pistons;$ 66,561,030;$ 4,754,359;$ 2,958,333;$ 4,178,916;2007;DET
Detroit Pistons;$ 75,517,622;$ 5,034,508;$ 3,500,000;$ 5,012,572;2006;DET
Detroit Pistons;$ 112,821,758;$ 4,029,348;$ 2,631,557;$ 3,424,567;2005;DET
Detroit Pistons;$ 52,634,889;$ 3,759,634;$ 3,932,720;$ 2,994,626;2004;DET
Detroit Pistons;$ 52,634,889;$ 3,759,634;$ 3,932,720;$ 2,994,626;2003;DET
Detroit Pistons;$ 47,392,093;$ 3,159,472;$ 2,687,500;$ 2,028,791;2002;DET
Detroit Pistons;$ 41,711,427;$ 2,780,761;$ 2,531,250;$ 2,081,065;2001;DET
Golden State Warriors;$ 66,427,992;$ 4,428,532;$ 3,398,072;$ 3,603,684;2010;GSW
Golden State Warriors;$ 70,639,719;$ 2,716,912;$ 1,802,780;$ 2,975,226;2009;GSW
Golden State Warriors;$ 64,549,630;$ 3,227,481;$ 1,578,000;$ 3,564,608;2008;GSW
Golden State Warriors;$ 74,239,480;$ 4,124,415;$ 2,269,740;$ 4,866,718;2007;GSW
Golden State Warriors;$ 62,120,690;$ 4,437,192;$ 2,346,178;$ 4,385,387;2006;GSW
Golden State Warriors;$ 114,915,048;$ 4,104,108;$ 1,950,000;$ 3,912,625;2005;GSW
Golden State Warriors;$ 44,225,165;$ 3,685,430;$ 2,570,800;$ 3,132,431;2004;GSW
Golden State Warriors;$ 44,225,165;$ 3,685,430;$ 2,570,800;$ 3,132,431;2003;GSW
Golden State Warriors;$ 47,380,387;$ 3,948,365;$ 3,750,040;$ 2,928,335;2002;GSW
Golden State Warriors;$ 47,173,177;$ 3,369,512;$ 3,319,088;$ 1,877,584;2001;GSW
Houston Rockets;$ 74,082,615;$ 4,938,841;$ 2,669,520;$ 4,636,978;2010;HOU
Houston Rockets;$ 92,713,977;$ 3,863,082;$ 2,216,157;$ 4,557,657;2009;HOU
Houston Rockets;$ 69,577,785;$ 4,638,519;$ 1,962,378;$ 5,620,957;2008;HOU
Houston Rockets;$ 77,637,117;$ 4,086,164;$ 1,529,873;$ 5,390,228;2007;HOU
Houston Rockets;$ 62,627,349;$ 4,175,156;$ 2,115,000;$ 4,682,054;2006;HOU
Houston Rockets;$ 104,704,026;$ 3,490,134;$ 2,000,000;$ 3,862,184;2005;HOU
Houston Rockets;$ 58,332,783;$ 3,888,852;$ 3,500,000;$ 3,394,712;2004;HOU
Houston Rockets;$ 58,332,783;$ 3,888,852;$ 3,500,000;$ 3,394,712;2003;HOU
Houston Rockets;$ 47,269,865;$ 3,376,418;$ 2,655,960;$ 2,784,782;2002;HOU
Houston Rockets;$ 46,694,419;$ 3,112,961;$ 3,000,000;$ 2,627,761;2001;HOU
Indiana Pacers;$ 58,917,821;$ 3,927,854;$ 2,069,040;$ 3,659,182;2010;IND
Indiana Pacers;$ 70,516,057;$ 3,917,558;$ 1,976,400;$ 3,542,507;2009;IND
Indiana Pacers;$ 69,623,798;$ 4,351,487;$ 2,166,214;$ 3,356,613;2008;IND
Indiana Pacers;$ 66,879,374;$ 4,179,960;$ 1,625,558;$ 5,096,492;2007;IND
Indiana Pacers;$ 61,526,247;$ 4,101,749;$ 1,417,800;$ 4,718,895;2006;IND
