TEAM;TOTAL;AVG;MEDIAN;STD;YEAR;ID
Toronto Raptors;$ 95,358,923;$ 5,609,348;$ 4,250,000;$ 6,315,787;2008;TOR
Toronto Raptors;$ 63,762,305;$ 3,985,144;$ 3,094,790;$ 3,279,787;2007;TOR
Toronto Raptors;$ 42,223,168;$ 2,814,877;$ 2,550,000;$ 1,932,273;2006;TOR
Toronto Raptors;$ 69,119,992;$ 2,468,571;$ 2,095,000;$ 1,630,071;2005;TOR
Toronto Raptors;$ 53,051,390;$ 3,789,385;$ 3,540,000;$ 3,578,897;2004;TOR
Toronto Raptors;$ 53,051,390;$ 3,789,385;$ 3,540,000;$ 3,578,897;2003;TOR
Toronto Raptors;$ 49,679,365;$ 3,311,957;$ 1,207,800;$ 3,604,049;2002;TOR
Toronto Raptors;$ 51,691,285;$ 3,446,085;$ 3,073,032;$ 2,702,900;2001;TOR
Utah Jazz;$ 78,390,786;$ 6,030,060;$ 3,000,000;$ 6,051,725;2010;UTA
Utah Jazz;$ 75,213,100;$ 5,014,206;$ 2,000,000;$ 5,470,994;2009;UTA
Utah Jazz;$ 66,266,407;$ 4,417,760;$ 2,074,302;$ 4,366,245;2008;UTA
Utah Jazz;$ 54,683,522;$ 4,206,424;$ 2,300,000;$ 4,425,403;2007;UTA
Utah Jazz;$ 60,325,348;$ 4,640,411;$ 3,749,040;$ 3,988,481;2006;UTA
Utah Jazz;$ 115,512,572;$ 3,850,419;$ 2,500,000;$ 3,639,948;2005;UTA
Utah Jazz;$ 38,795,714;$ 2,984,285;$ 1,481,400;$ 3,089,920;2004;UTA
Utah Jazz;$ 38,795,714;$ 2,984,285;$ 1,481,400;$ 3,089,920;2003;UTA
Utah Jazz;$ 50,516,753;$ 3,367,783;$ 1,030,000;$ 5,054,076;2002;UTA
Utah Jazz;$ 53,642,315;$ 4,126,331;$ 2,175,000;$ 4,839,171;2001;UTA
Washington Wizards;$ 59,206,652;$ 3,947,110;$ 2,630,503;$ 4,931,541;2010;WAS
Washington Wizards;$ 63,456,429;$ 3,339,812;$ 1,496,640;$ 4,439,718;2009;WAS
Washington Wizards;$ 69,176,589;$ 4,941,184;$ 3,925,035;$ 4,112,940;2008;WAS
Washington Wizards;$ 61,133,847;$ 5,094,487;$ 3,645,107;$ 4,888,940;2007;WAS
Washington Wizards;$ 61,853,822;$ 4,123,588;$ 2,564,127;$ 4,326,914;2006;WAS
Washington Wizards;$ 100,487,962;$ 3,349,598;$ 2,010,000;$ 3,872,667;2005;WAS
Washington Wizards;$ 48,797,362;$ 3,253,157;$ 1,735,305;$ 3,561,408;2004;WAS
Washington Wizards;$ 48,797,362;$ 3,253,157;$ 1,735,305;$ 3,561,408;2003;WAS
Washington Wizards;$ 36,532,342;$ 2,435,489;$ 1,594,920;$ 1,953,228;2002;WAS
Washington Wizards;$ 31,273,694;$ 2,233,835;$ 1,905,820;$ 1,313,071;2001;WAS
